Name	Title	Artist
Adele - Rolling in the deep
Adele - Rumor Has It	Rumor Has It	Adele
Adele - Set fire to the rain	Set Fire to the Rain	Adele
Adele - Someone Like You	Someone Like You	Adele
adolescentes - aquel lugar186262	Aquel lugar	Los Adolescentes
aerosmith - armageddon - i don't want to miss a thing	I Don't Want to Miss a Thing	AeroSmith
Afrojack feat. Eva Simons - Take Over Control	Take Over Control (Original Mix)	Afrojack Feat Eva Simons
Alanis Morrisette - Hand in My Pocket	Hand in My Pocket	Alanis Morissette
alberto cortes - cuando un amigo se va	Cuando un amigo se va	Alberto Cortez y Facundo Cabra
Alejandro Sanz - Corazon Partio	corazon partio	Alejandro Sanz
alejate de mi - asdrubal	Alejate De Mi	Asdrubal
Aleks Syntek con Ana Torroja - Duele el amor	Duele el amor	 Aleks Syntek/Ana Torroja
Alexandra Stan & Robson Michel - Mr Saxobeat	Mr. Saxobeat (Original Mix DRM)	Alexandra Stan/Robson Michel
aljadaqui - ganas de amar	Ganas de Amar	Al-Jadaqui
aljadaqui - no queda mas	No queda mas	Al-Jadaqui
Al Jadaqui - Por ti Muero	Por ti Muero	Al Jadaqui
ana belen - entre dos amores	Entre dos amores	Ana Belen
ana belen, miguel rios, victor manuel, joan manuel serrat - solo le pido a dios		Ana Belen, Joan Manuel Serrat, Víctor Manuel y Miguel Rios
ana belen - que sera (o que sera)	Que sera (O que sera)	Ana Belen
ana belen y miguel rios - la puerta de alcala		Ana Belen
ana belen y victor manuel - el hombre del piano	El Hombre Del Piano	Ana Belén y Victor Manuel
andrés cepeda - ciertas cosas	Ciertas Cosas	Andres Cepeda
Andres Cepeda - palabras	Palabras	Andres Cepeda
Andres Cepeda - Te quiero decir	Te quiero decir	Andres Cepeda
Anna Kendrick - You're Gonna Miss Me	 You're Gonna Miss Me	Anna Kendrick
annie lenox - sweet dreams	Sweet Dreams	Annie Lenox
Arcade Fire & David Bowie - Wake Up	Wake Up	Arcade Fire/David Bowie
Ariana Grande - The Way (feat. Mac Miller)	The Way (Feat. Mac Miller)	Ariana Grande
armin van buuren ft sharon den adel - in and out of love	armin van buuren ft sharon den adel - in and out of love	Armin Van Buuren
asdrubal suelta mi mano	Suelta mi mano	asdrubal
Avicii - Levels	Levels	Avicii
Avicii - The Days	The Days	Avicii
Avicii - Waiting For Love	Waiting For Love	Avicii
Avicii - Wake Me Up (David A Club Remix)	Wake Me Up (David A Club Remix)	Avicii/David A Club
Avicii - Wake me up	Wake Me Up	Avicii
Ay Vamos (J Balvin remix) (Brayan Rojas DJ)
baby i love your ways
bachata rosa - estrellitas y duendes	Estrellitas y Duendes	Juan Luis Guerra
Backstreet Boys - As Long As You Love Me		BackStreet Boys
Backstreet Boys - I Want It That Way		BackStreet Boys
Backstreet Boys - Larger Than Life	 Larger Than Life	BackStreet boys
Backstreet Boys - Shape Of My Heart		BackStreet Boys
Backstreet Boys - Show Me The Meaning Of Being Lonely		BackStreet Boys
bad romance	Bad Romance	 Lady GaGa
because you loved me	Because You Loved Me	Celine Dion
Bee Gees - Stayin' Alive	Stayin' Alive	Bee Gees
before it's too late	Before It's Too Late	Goo Goo Dolls
bendita luz	Bendita Luz	Maná y Juan Luis Guerra
Benny Hill theme
beto cuevas featuring flo rida - quiero creer
